,meanV,meanH,meanM,stdV,stdH,stdM,dofall
518,0.9901067833152662,1.9542538376291507,2.221077440067382,0.2963000143130384,0.7115925679513097,0.6674798562085611,yes
519,1.0140609080329264,1.8343886930535198,2.140678856682088,0.3274038294255885,0.7212599598239436,0.6458962011624029,yes
520,1.0490366344568696,1.6774864274638897,2.0443724724113745,0.3779660623347586,0.7013967950806449,0.5833942790908797,yes
521,1.075990615923677,1.4910290500727261,1.9130555570666878,0.39939052025534655,0.6016047890348973,0.4599986330492341,yes
522,1.1349233351841594,1.2977526706976057,1.8057781479921542,0.4385887297111698,0.47209720823543766,0.307481732701016,yes
523,1.2393353043140465,1.1176241344411548,1.7313255895134918,0.4255891305240592,0.29221929434749094,0.1745273207155536,yes
524,1.3606620049864637,1.0097057749117937,1.7437197909899684,0.391142247725052,0.26205198127109025,0.1821027889622893,yes
525,1.4817426380039065,0.9362518137767772,1.7871559891436484,0.3073901120596721,0.25901458703582153,0.1620071607042746,yes
526,1.5521129736722514,0.877683265310092,1.81649936284063,0.2664604959821002,0.2810217861302178,0.1277569664360135,yes
527,1.6259533058640279,0.8046812586610945,1.8379220213687488,0.15430438123326276,0.2818610160031847,0.08305721740985961,yes
528,1.6586185035615841,0.7298120147572351,1.831175253364238,0.11084709648673358,0.27089705539050496,0.09154945709044912,yes
529,1.670925786403687,0.6465032584188851,1.8034950274876302,0.09533494429984027,0.21859401818781624,0.09746805399909825,yes
530,1.672597418377234,0.5801112078751542,1.7791255752987687,0.09537182131027055,0.17879198734046353,0.08013494116416875,yes
531,1.7012100058677109,0.5203776694866078,1.7827502081378974,0.06884564167195352,0.1282677779290348,0.0801610119826496,yes
532,1.7211367727480653,0.4791514706097555,1.7894557608315158,0.08052513169493156,0.11068290374131293,0.08568355302829021,yes
533,1.7443309851597562,0.445070145662774,1.8028814206530257,0.09355571541792318,0.10434579652715835,0.09471154358267855,yes
534,1.7557268383177345,0.41996038647087736,1.8077876388024134,0.10732628981148348,0.09430913228147765,0.10121012472349832,yes
535,1.7719686679562958,0.4044521430057683,1.8191515981698152,0.12683062816256588,0.06755522373126037,0.11891502064318034,yes
536,1.7968067790538407,0.4086680791091258,1.844166440172708,0.1389556329591438,0.07648741539616481,0.13831298829446376,yes
537,1.8164731608944362,0.4302002497879426,1.8695503298811,0.1329001503019242,0.1165219304438308,0.13962008933397227,yes
538,1.8422177757904081,0.46770971370029324,1.9060839643243916,0.1207784030638422,0.16605457639646912,0.13867636650028894,yes
539,1.8652102457624165,0.5119771989617949,1.9427377036717288,0.08931144472594564,0.20367577853839536,0.11261758850286249,yes
540,1.86066618606867,0.5649172688066268,1.9577503159519367,0.10016450883024718,0.23449946440077646,0.0878414723329808,yes
