,meanV,meanH,meanM,stdV,stdH,stdM,dofall
886,136.3827732539983,160.91463591623565,210.93551542279502,0.20974484212517297,0.41612974678009174,0.4513193407073941,no
887,136.5517583932197,161.19276015056874,211.25693976238873,0.26263135337338683,0.4133561602597912,0.4820766326271573,no
888,136.71754712566212,161.44018042835165,211.55287939636247,0.31930734365754704,0.401876530763066,0.5117829678324527,no
889,136.92168702498904,161.682981081655,211.87009187630855,0.38733329944373224,0.41054045291820046,0.5632206305931956,no
890,137.2047892313416,161.9494756579395,212.2564342307795,0.44673022680272356,0.3917272016371678,0.5867239661067103,no
891,137.52735419299785,162.19248260346532,212.650418503922,0.5455341989035186,0.3745524691553688,0.6367811632389798,no
892,137.941732911522,162.4578817404058,213.1209751763218,0.7462377258107301,0.4427568647981047,0.8195132813784346,no
893,138.5026613803294,162.80218146965396,213.7467152518468,0.9949582121236751,0.5706751463245343,1.079183332065088,no
894,139.12642808952472,163.18999888916056,214.44643136629543,1.119610859383582,0.6889286500240421,1.2496627462933612,no
895,139.78370424251958,163.645595161364,215.21955891200915,1.1407759842714178,0.8250966601891055,1.365637522042293,no
896,140.45701197617112,164.1967688351509,216.07588555907796,1.02986046222311,0.9150399399346144,1.360660487159513,no
897,141.0337331421893,164.7671740033059,216.88416742524842,0.8079930807716184,0.9279899041981546,1.2271143892063965,no
898,141.46842622002978,165.34065236618216,217.60254948682118,0.6338872213540866,0.9442034821744401,1.1247585642213147,no
899,141.84861064807382,165.94777219464328,218.31110698139983,0.4948973362751457,0.9384412498478553,1.0322814490303864,no
900,142.15078359010414,166.53298164469942,218.95238297186603,0.39575042900312735,0.9070790314934287,0.9465531632780272,no
901,142.41432028694965,167.11248293013165,219.56430941661375,0.4253487382320785,0.9374924724960626,0.9889737236525087,no
902,142.74087130465279,167.74426734600155,220.25698941209808,0.5456938354727755,0.9993131198849393,1.1131656188496297,no
903,143.12640142760034,168.39959348331584,221.0059295568757,0.655608920871421,1.0591379542849833,1.2299637557854266,no
904,143.58889275076217,169.1013738307308,221.8401652591702,0.8427344254500287,1.1834000392579362,1.4466945886098626,no
905,144.1946120227602,169.89807363531773,222.83950528953133,1.0512387880591563,1.308005758775992,1.6767637529525028,no
906,144.79581398924094,170.68913423902004,223.8316611443985,1.041235350717002,1.3036560758754454,1.6668524184362512,no
907,145.3122783426422,171.4316407395293,224.73203163762315,0.890319814777269,1.214858117119447,1.497698023893537,no
