@RELATION fall

@ATTRIBUTE index INTEGER
@ATTRIBUTE meanV REAL
@ATTRIBUTE meanH REAL
@ATTRIBUTE meanM REAL
@ATTRIBUTE mstdV REAL
@ATTRIBUTE stdH REAL
@ATTRIBUTE stdM REAL
@ATTRIBUTE dofall {yes,no}

@DATA
173,6.395187232,5.678296961,8.552398263,0.146791152,0.197641572,0.240956221,yes
174,6.488605142,5.805342526,8.70667859,0.145339384,0.20108353,0.242365843,yes
175,6.576804185,5.930605607,8.855999152,0.13486178,0.193344132,0.229594449,yes
176,6.653031663,6.047852217,8.991214125,0.123154899,0.18780615,0.217272694,yes
177,6.716974187,6.161580106,9.115190762,0.0934197,0.177181218,0.18776761,yes
178,6.761079533,6.269022463,9.220536449,0.055099562,0.157541536,0.145047095,yes
179,6.790690434,6.362617764,9.306037888,0.030756642,0.143490316,0.118683184,yes
180,6.80317002,6.445510061,9.371954219,0.011818538,0.123756178,0.090557958,yes
181,6.790148601,6.507693448,9.405386738,0.037789342,0.090358414,0.056640223,yes
182,6.763576308,6.551331912,9.41649894,0.063247094,0.057036165,0.039759702,yes
183,6.730881269,6.596000767,9.42436811,0.080980772,0.054471406,0.033438722,yes
184,6.685711971,6.672617449,9.446692093,0.080659655,0.141447499,0.068805711,yes
185,6.671415455,6.799554389,9.527308682,0.057977924,0.270251486,0.203811148,yes
186,6.706092491,6.957775488,9.664743805,0.118230685,0.337279705,0.310709448,yes
187,6.761033041,7.122910554,9.82142847,0.156040528,0.315841017,0.328345683,yes
188,6.813422605,7.275598735,9.967919024,0.146492734,0.219809374,0.258543746,yes
189,6.872051091,7.370099405,10.07689492,0.082184241,0.08793276,0.118476389,yes
190,6.900587705,7.390693369,10.11142869,0.027369451,0.046391402,0.047301116,yes
191,6.920033223,7.419299498,10.14561148,0.050097592,0.072638457,0.08412409,yes
192,6.979697722,7.501727741,10.24659965,0.155705411,0.198093724,0.2502079,yes
193,7.109737547,7.622332013,10.42348693,0.285716336,0.308595879,0.419412719,yes
194,7.27967064,7.782404484,10.65650148,0.363638754,0.359581929,0.509443512,yes
195,7.458385831,7.955145089,10.90479207,0.332340741,0.283402704,0.432978659,yes
196,7.593144634,8.035092425,11.05555545,0.212566654,0.15919383,0.249176604,yes
197,7.662611779,7.983327176,11.06646068,0.093839686,0.255148324,0.228323413,yes
198,7.659290816,7.830140601,10.95493666,0.099127752,0.396470674,0.351448266,yes
199,7.607609547,7.615613497,10.76644987,0.113704853,0.442203041,0.393107949,yes
200,7.570259605,7.404256653,10.59077808,0.070816878,0.341875391,0.284564957,yes
201,7.607224365,7.276277314,10.5276727,0.144795965,0.183799462,0.180208548,yes
202,7.724431878,7.252221389,10.59592097,0.291914916,0.137317692,0.298492051,yes
203,7.908013058,7.325957698,10.78036084,0.405426935,0.227533927,0.451471132,yes
204,8.11347362,7.453307,11.0175295,0.394603845,0.256343246,0.462901625,yes
205,8.260359009,7.567556601,11.20286591,0.260393504,0.196855426,0.321101055,yes
206,8.275681574,7.643722179,11.2663498,0.231091594,0.114062882,0.211800189,yes
207,8.128741695,7.679859382,11.1857871,0.444074937,0.047393265,0.343525171,yes
208,7.850582127,7.657414639,10.97157836,0.601913081,0.079554039,0.483489247,yes
209,7.565927607,7.609796168,10.7350364,0.547656028,0.080195179,0.44206686,yes
210,7.393439979,7.591045889,10.59826571,0.354662037,0.062310814,0.290324422,yes
211,7.406309111,7.607704934,10.61909792,0.379325554,0.090432635,0.32977464,yes
212,7.653337524,7.664505703,10.83623894,0.6869617,0.167031672,0.606219113,yes
213,8.107909161,7.774622645,11.24063168,0.909520397,0.232783251,0.818749114,yes
214,8.617333629,7.912436243,11.70548427,0.906156758,0.243421183,0.829927236,yes
215,9.060753766,8.044325651,12.11991333,0.716051673,0.214056598,0.673586426,yes
216,9.365676719,8.151483746,12.41711152,0.406169085,0.151068405,0.400258054,yes
217,9.493029333,8.235485184,12.56792251,0.165225362,0.094117968,0.146082301,yes
218,9.462571482,8.296833816,12.58598729,0.210651038,0.073598666,0.114383857,yes
219,9.379935809,8.355066187,12.56274566,0.20890583,0.093152856,0.109564004,yes
220,9.32455823,8.425267017,12.56784159,0.137478028,0.133888112,0.119002709,yes
221,9.349767459,8.52276947,12.65147511,0.185345738,0.173314623,0.243519322,yes
222,9.423575487,8.614143263,12.76747801,0.235019757,0.171309228,0.288117132,yes
223,9.514241137,8.702575119,12.89406761,0.201347219,0.143046604,0.243467145,yes
224,9.589502532,8.792408177,13.01033181,0.114728231,0.118126464,0.149831937,yes
225,9.632600479,8.892193959,13.10992322,0.035003173,0.142557544,0.081062628,yes
226,9.634262499,8.987616946,13.17624069,0.035946209,0.189986601,0.126803489,yes
227,9.665093472,9.100731718,13.27583819,0.099528926,0.212789272,0.204994648,yes
228,9.749165718,9.227247268,13.42356411,0.195007111,0.206414697,0.275587736,yes
229,9.869774002,9.348078959,13.59418387,0.253237817,0.172544825,0.300634711,yes
230,9.991881542,9.442737021,13.7479584,0.242425908,0.141275066,0.272951982,yes
231,10.10310818,9.539110427,13.89495623,0.163055764,0.136582103,0.205570488,yes
232,10.18119617,9.640418156,14.02142652,0.073629547,0.156415366,0.149689918,yes
233,10.21971365,9.744124717,14.12100325,0.017681879,0.185827006,0.139893573,yes
234,10.22439101,9.85195946,14.19911026,0.012765287,0.198995381,0.142979164,yes
235,10.21192736,9.963558603,14.2678026,0.033495298,0.170141951,0.11082495,yes
236,10.19271279,10.06022139,14.32177022,0.055398959,0.135523499,0.066095263,yes
237,10.17193069,10.1466211,14.36780885,0.057842283,0.117195241,0.047788084,yes
238,10.16086869,10.22154699,14.41285047,0.044417435,0.111958104,0.076015891,yes
239,10.18643889,10.29287815,14.4813373,0.095301762,0.117811195,0.141938382,yes
240,10.2690116,10.36371147,14.58982632,0.192187932,0.115817651,0.213197997,yes
241,10.39583114,10.43060249,14.726906,0.261010623,0.100203198,0.253837554,yes
242,10.54497718,10.49834893,14.88034872,0.279966198,0.102597443,0.269772987,yes
243,10.68868963,10.57545429,15.03646308,0.231367275,0.120607029,0.243821386,yes
244,10.79164203,10.6524664,15.16369106,0.138001344,0.136801697,0.184590466,yes
245,10.83788735,10.73546959,15.2551137,0.06330217,0.148642465,0.124984733,yes
246,10.83869208,10.82063817,15.31592326,0.061881004,0.132818024,0.062517998,yes
247,10.81122891,10.88713341,15.34352404,0.073470385,0.095773843,0.018401088,yes
248,10.78757169,10.93811976,15.36292124,0.050349811,0.068970638,0.028537329,yes
249,10.78627171,10.98415164,15.39467805,0.047922895,0.051917964,0.062510348,yes
250,10.80176355,11.02026106,15.43127723,0.063564267,0.056761506,0.08472365,yes
251,10.82297624,11.06183261,15.47584596,0.060368998,0.081518037,0.096039248,yes
252,10.84117198,11.11594428,15.5273467,0.035037075,0.093553469,0.076776579,yes
253,10.8444662,11.17050507,15.56882054,0.029144575,0.092547627,0.049862958,yes
254,10.84029307,11.23055298,15.60906847,0.028374695,0.098741667,0.058090859,yes
255,10.84200473,11.29919151,15.65963302,0.031307395,0.103023861,0.086343542,yes
256,10.85166322,11.36489307,15.71372841,0.042792815,0.110802619,0.108485724,yes
257,10.87006384,11.43620272,15.77806185,0.047660875,0.124062815,0.122042578,yes
258,10.87221858,11.51175572,15.83451293,0.044102161,0.118739913,0.091462159,yes
259,10.81779765,11.57567852,15.84430589,0.147155607,0.100225184,0.074244645,yes
260,10.69687703,11.63440363,15.80612794,0.272114052,0.087118847,0.133014419,yes
261,10.51949988,11.68330005,15.72386531,0.372189009,0.062445652,0.204256606,yes
262,10.2807657,11.71609067,15.59042317,0.431958809,0.046291753,0.251531556,yes
263,10.01478329,11.75928149,15.44945491,0.429507214,0.070596241,0.230480528,yes
264,9.768352376,11.83191242,15.34680556,0.386916087,0.128955224,0.171339258,yes
265,9.538688255,11.89968996,15.25425213,0.34448851,0.152312508,0.114475262,yes
266,9.34640729,11.96599269,15.18589051,0.269223367,0.143238229,0.065559038,yes
267,9.221438173,12.01613957,15.14764192,0.181616292,0.085420635,0.068020233,yes
268,9.149944825,12.01671515,15.10399074,0.106093886,0.084207454,0.094036178,yes
269,9.164621904,11.96193194,15.0700183,0.137878938,0.136851791,0.059684707,yes
270,9.336986412,11.8777635,15.11265309,0.392565196,0.174828506,0.141578894,yes
271,9.619639587,11.75893164,15.20137957,0.596980292,0.200926017,0.238231866,yes
272,9.95336627,11.64180138,15.32762682,0.691356802,0.187517457,0.30701242,yes
273,10.32868933,11.54109566,15.49694978,0.639029751,0.164916242,0.299384959,yes
274,10.64563705,11.44854412,15.63735972,0.42306836,0.132912133,0.190570096,yes
275,10.8101244,11.37920026,15.69643455,0.216351163,0.078954443,0.10818916,yes
276,10.85381366,11.3509433,15.70540391,0.139044672,0.050218592,0.093254608,yes
277,10.82593734,11.33815561,15.67700067,0.171172581,0.031008348,0.114843093,yes
278,10.74416716,11.34316368,15.62435538,0.16154762,0.038757953,0.087243557,yes
279,10.65906589,11.36619821,15.58250552,0.09997557,0.044005463,0.03895958,yes
280,10.59410479,11.39404932,15.55842627,0.073059311,0.040683459,0.021868288,yes
281,10.55501484,11.42267741,15.55283105,0.060339004,0.048824277,0.014304747,yes
282,10.54661903,11.45113872,15.56798594,0.04978642,0.04553233,0.038834864,yes
283,10.58420393,11.46340883,15.60262306,0.119202415,0.03384836,0.083307893,yes
284,10.69788504,11.46519831,15.68219551,0.270629658,0.031091323,0.17185115,yes
285,10.90275971,11.45380326,15.81613227,0.422016577,0.04659457,0.259696416,yes
286,11.1713739,11.42924387,15.98618945,0.514298236,0.054382011,0.321957683,yes
287,11.47900756,11.41489527,16.19230854,0.535605237,0.036278223,0.365964966,yes
288,11.78765518,11.43132813,16.42257058,0.476524801,0.066523453,0.368194888,yes
289,12.04288941,11.46318544,16.62728671,0.367483176,0.09641054,0.325218388,yes
290,12.23616585,11.50986485,16.79908645,0.260443776,0.107245773,0.26197345,yes
291,12.37812759,11.55987273,16.93668498,0.164397797,0.078640982,0.173100148,yes
292,12.46557692,11.58577089,17.01832424,0.097805011,0.035436665,0.086547168,yes
293,12.51876861,11.58311845,17.05555844,0.073111065,0.039940649,0.045816555,yes
294,12.56595137,11.56827723,17.08018467,0.059525123,0.050138306,0.019665082,yes
295,12.60048223,11.54745733,17.091491,0.048963378,0.043336166,0.018668432,yes
296,12.62552471,11.5377962,17.1033873,0.046793445,0.025620914,0.03596765,yes
297,12.65182835,11.55082339,17.13157293,0.037151052,0.047698222,0.054939979,yes
298,12.67199449,11.5764801,17.16377548,0.021645991,0.063353971,0.058448629,yes
299,12.68988685,11.61347685,17.20194751,0.029386121,0.071158524,0.069068606,yes
300,12.71854028,11.65673083,17.25227512,0.050602418,0.06401002,0.078818316,yes
301,12.76114339,11.68979251,17.30603228,0.081913316,0.048120608,0.090114293,yes
302,12.83330534,11.71181241,17.3742676,0.142462552,0.035498166,0.124225116,yes
303,12.94520044,11.7262585,17.4670592,0.209755633,0.015752243,0.160438562,yes
304,13.08982144,11.72309063,17.57282556,0.269063303,0.022707025,0.188446978,yes
305,13.26802517,11.70729097,17.69593125,0.319145623,0.036343794,0.217113664,yes
306,13.46593128,11.68936166,17.83314595,0.329138333,0.041410779,0.221991471,yes
307,13.65199881,11.67011626,17.96128384,0.298873464,0.035918952,0.204511491,yes
308,13.820644,11.66006867,18.08287132,0.252213416,0.019047926,0.188236299,yes
309,13.97028275,11.66698333,18.20157393,0.199397579,0.031590634,0.168123961,yes
310,14.09384058,11.68289587,18.30659481,0.172296855,0.042419638,0.158797007,yes
311,14.21450886,11.70718585,18.41510551,0.190849031,0.049303255,0.178308182,yes
312,14.35027877,11.73710031,18.53913288,0.223838968,0.043754166,0.200596377,yes
313,14.49213357,11.7557317,18.66102866,0.246731472,0.029080026,0.207816416,yes
314,14.64187037,11.76537295,18.78368929,0.256506514,0.019754207,0.20716601,yes
315,14.79833449,11.77367763,18.91106082,0.24028966,0.010085757,0.187882686,yes
316,14.94384439,11.77457064,19.02562479,0.21711748,0.009430473,0.167269874,yes
317,15.08331535,11.7753504,19.13577605,0.214874585,0.011049881,0.174601252,yes
318,15.23249801,11.78643467,19.26035969,0.232601892,0.024279427,0.197917882,yes
319,15.3931901,11.79963177,19.39581499,0.267445474,0.027896627,0.228627327,yes
320,15.57273708,11.81193824,19.54620954,0.311319153,0.028643239,0.264361865,yes
321,15.77012887,11.82577411,19.71227406,0.332604286,0.018673372,0.275973052,yes
322,15.96817466,11.83131232,19.87440095,0.321585629,0.007814218,0.258657395,yes
323,16.16000519,11.83533957,20.03110763,0.296459466,0.009128771,0.240142825,yes
324,16.3341919,11.85014701,20.18034308,0.253987262,0.032351524,0.217966594,yes
325,16.47818637,11.8737676,20.31066627,0.20904955,0.05580726,0.197710583,yes
