0.0591,3.40811,-8.50884,3.48634
0.1194,3.2073,-8.61119,3.42502
0.1802,2.82881,-8.79123,3.29882
0.2393,2.21122,-8.99803,3.21188
0.2994,1.87813,-9.11802,3.08293
0.3594,1.11397,-9.36347,2.69346
0.4198,-0.46608,-9.68595,1.46127
0.4799,-1.05507,-9.61914,-1.5903
0.5396,-1.6515,-9.26483,-2.75782
0.6003,0.25426,-9.66667,-1.63118
0.66,1.97192,-9.54533,-1.08089
0.7202,1.80606,-9.59772,-0.8901
0.7812,1.64623,-9.6152,-1.00386
0.8402,1.57829,-9.55903,-1.51782
0.9009,1.55942,-9.51788,-1.77435
0.9612,1.33758,-9.48401,-2.10576
1.0203,1.08185,-9.47871,-2.27022
1.0811,0.81319,-9.4085,-2.64359
1.1408,0.44557,-9.34053,-2.95398
1.2,-0.16052,-9.30649,-3.08766
1.2607,-0.4827,-9.55129,-2.17027
1.3201,-1.17372,-9.35411,-2.70057
1.3814,-1.86747,-8.97514,-3.48275
1.44,-2.0907,-7.68778,-5.71813
1.4997,-4.01955,-3.21271,-8.34817
1.56,-6.06296,-3.811,-6.69977
1.6199,-5.89016,-1.85645,-7.61771
1.6807,-6.85794,-1.31364,-6.88569
1.7428,-8.25907,-0.42238,-5.27061
1.7996,-8.51625,0.02434,-4.86237
1.8601,-7.27098,0.49621,-6.56173
1.92,-6.11409,0.45227,-7.65398
1.9801,-4.00709,-0.4286,-8.94031
2.0396,-3.75148,-1.12961,-8.99
2.0998,-3.47605,-0.83556,-9.13173
2.1598,-3.38167,-0.65874,-9.1815
2.2195,-3.38564,-0.87229,-9.16222
2.2804,-3.31991,-1.25535,-9.14178
2.3396,-3.30331,-1.57157,-9.09878
2.3998,-3.2124,-1.737,-9.10126
2.46,-3.26968,-2.20229,-8.97938
2.5199,-3.33062,-2.68123,-8.8254
2.5807,-3.3743,-3.1196,-8.66326
2.6401,-3.02452,-3.77807,-8.52927
2.7004,-3.08553,-4.79854,-7.97641
2.7605,-2.73959,-5.77129,-7.44021
2.821,-2.51365,-6.36503,-7.02408
2.8808,-2.02511,-6.76942,-6.80027
2.9401,-1.78669,-7.18363,-6.4322
3.0006,-1.29903,-7.45614,-6.23605
3.0601,-1.03879,-7.87292,-5.75396
3.1213,-1.35201,-8.16834,-5.25551
3.1826,-1.43072,-8.44612,-4.77347
3.2406,-1.71674,-8.45992,-4.65321
3.2996,-1.47756,-8.75587,-4.16192
3.3607,-1.10317,-9.24874,-3.06816
3.421,-0.93693,-9.49354,-2.2727
3.4812,-0.86349,-9.67391,-1.35637
3.5406,-0.82101,-9.75676,-0.54936
3.6011,-0.86789,-9.76038,0.38988
3.6599,-0.84893,-9.6878,1.26326
3.7207,-1.05249,-9.52578,2.07894
3.7816,-0.88237,-9.39387,2.6733
3.8404,-0.93999,-9.23021,3.17645
3.9022,-0.60029,-9.24363,3.21947
3.9617,-0.05802,-9.30462,3.09695
4.0217,0.79536,-9.35413,2.83509
4.0827,2.15487,-9.33435,2.09679
4.1402,4.21909,-8.55987,2.25789
4.2008,4.78167,-8.37372,1.78509
4.2631,4.0886,-8.48051,2.74491
4.3213,4.61437,-8.38631,2.13249
4.3817,5.14485,-8.1832,1.65402
4.4419,5.2521,-8.08423,1.79743
