time,X_value,Y_value,Z_value
3.0032,2.8851,7.11818,2.18118
3.0032,4.23787,6.71834,3.20833
3.0032,2.87313,7.37676,4.23547
3.0613,1.3791,9.15571,5.02079
3.0613,-0.68476,9.48851,3.77098
3.0613,0.9194,8.97135,-0.34238
3.1207,2.14527,7.48211,-2.23865
3.1219,3.56986,7.2786,-1.36713
3.1219,2.64807,7.54197,0.65603
3.1823,3.0934,9.17726,2.64328
3.1824,3.62972,7.53239,2.68877
3.1824,3.79014,5.59303,1.99204
3.2418,2.98327,5.19797,0.72307
3.2425,1.77176,8.7391,-1.43656
3.2426,2.11654,11.09746,-1.54191
3.3016,2.11414,7.91787,5.37994
3.3016,3.08143,5.09023,11.00169
3.3018,1.65923,0.68476,10.10863
3.3613,2.31766,2.86834,7.34803
3.3613,3.17241,7.70238,7.57788
3.362,-0.56505,8.04476,6.80453
3.4243,-1.40783,2.77257,11.49731
3.4253,0.57223,1.19474,22.30506
3.4253,-2.15245,6.11977,17.064
3.4824,3.99126,5.82048,-1.93936
3.4824,7.33127,-2.47089,-4.50363
3.4824,8.84685,-3.17002,3.28495
3.5447,-2.62413,2.68159,3.69915
3.5447,-5.55951,4.70236,6.15568
3.5447,-5.7726,2.37512,18.96745
3.6013,-11.82053,-0.7542,22.15183
3.6013,-8.39433,2.45174,17.25793
3.6032,0.40703,-1.7574,12.91232
3.6624,-1.66881,-2.86116,20.76794
3.6624,-7.24508,-0.16999,21.29708
3.6624,-7.66886,4.0128,12.30418
3.7237,-7.98491,-2.45892,-9.55795
3.7247,1.11094,2.3416,-9.8692
3.7247,-6.34962,1.24502,17.4399
3.7825,-9.04557,0.52913,23.26517
3.7825,-6.37835,-2.68398,14.74634
3.7825,-7.66407,2.99524,-8.77981
3.8415,-13.36245,3.4693,-0.69434
3.8418,-9.1174,-3.98168,17.58595
3.8418,-6.78777,-4.92263,13.37681
3.9004,-4.20674,4.30251,3.85718
3.9008,-13.5899,5.3105,2.53554
3.9008,-10.54678,-0.94574,1.62571
3.9611,-7.20916,0.35914,10.88916
3.9625,-5.24825,2.29611,6.57228
3.9625,-12.7112,-0.33759,7.20916
4.0229,-6.97931,0.65603,4.38392
4.0241,-1.78373,6.47651,2.48286
4.0241,-11.21239,3.72549,3.13171
4.0814,-8.89713,-1.48924,6.17962
4.0814,-9.25387,-1.28573,10.0799
4.0814,-6.57947,-0.51956,6.72791
4.1434,-9.04796,3.35677,2.43977
4.1434,-11.14056,5.98569,1.79331
4.1434,-8.54277,5.64809,5.68161
4.2031,-3.37832,3.52198,3.03355
4.2031,-5.91865,2.15485,1.2977
4.2031,-9.25387,1.98725,6.99128
4.262,-7.48929,-1.66163,11.81335
4.262,-6.62017,2.97848,5.92822
4.2621,-7.1924,5.00882,0.4597
4.3223,-6.01442,4.17801,2.84919
4.3235,-6.80692,1.55149,7.38634
4.3235,-9.90751,-1.63529,12.81416
4.382,-21.47186,-3.8045,13.95623
4.382,-20.25317,-1.5898,14.87802
4.382,-12.85007,-2.71032,19.16856
4.4436,-5.84682,-7.32409,20.8254
4.4436,0.668,-8.4901,17.62186
4.4436,-1.03912,-4.06069,12.9626
4.5036,0.03113,5.75105,-1.58501
4.5037,-3.2634,4.81249,-2.0064
4.5037,-8.25785,3.9745,11.90673
4.5619,-4.63771,12.66332,19.8653
4.5619,-3.00481,26.18379,-3.02876
4.5619,-3.63451,26.31547,-20.52851
4.6223,-4.96812,12.77824,-3.06946
4.6233,-0.03352,-0.11253,16.90837
4.6233,5.22191,1.34079,10.09426
4.6807,4.32645,3.25382,-14.58353
4.6807,2.74384,5.23628,-24.25161
4.6813,-2.46371,2.80848,-18.76632
4.7437,-6.28258,4.65686,-17.24596
4.7437,-3.1796,5.4374,-14.14298
4.7437,4.6018,2.19076,-8.38475
4.8015,10.40791,1.02714,-0.74462
4.8015,6.941,0.69195,-1.53473
4.8015,0.44055,-0.7949,-9.91469
4.8612,-0.90743,-0.0407,-13.98975
4.8613,2.69595,-5.03516,-9.80216
4.8613,17.24117,-7.1493,0.22506
4.9197,18.21804,-7.13733,6.87875
4.9205,14.61465,-4.93939,4.85559
4.9205,9.72794,-3.23945,-0.03831
4.9748,7.83646,-3.02397,-3.12692
4.9959,10.26426,-1.84599,-5.04234
5.0149,16.32656,-1.0439,-6.30413
5.0352,17.38243,-3.29452,-2.48047
5.0575,9.98173,-2.90426,4.81249
5.0779,4.83165,-3.012,0.61054
5.0942,7.47971,-3.02397,-8.91149
5.1165,10.5803,-3.1796,-14.22199
5.1346,9.89075,0.38069,-19.87488
5.1545,8.22673,1.00799,-22.10873
5.1754,6.88354,2.77496,-11.92109
5.1943,7.20437,2.0902,-3.89549
5.2148,7.74069,-0.22746,-2.24104
5.2349,8.98571,-0.74223,-1.55867
5.2549,9.86202,-1.4653,-1.65444
5.2745,8.97614,-2.25062,-1.81725
5.2965,7.68323,-1.79571,-2.38949
5.3158,7.28578,-0.85476,-2.60976
5.3353,8.00406,-0.17957,-3.04552
5.3556,12.18207,0.14605,-4.74306
5.3753,10.8293,-3.22509,-7.15409
5.3976,9.89075,-3.66324,-7.15888
5.4146,8.34644,-3.69437,-6.09582
5.4348,4.99206,-3.36396,-5.50444
5.4555,5.61218,-0.85715,-5.09981
5.4754,8.67685,-0.26337,-4.62095
5.4944,9.39513,0.32083,-4.68081
5.516,9.2419,0.19394,-5.44937
5.535,7.59703,1.15883,-5.61936
5.5551,5.59542,1.49642,-6.99368
5.5765,5.28895,1.33361,-7.02241
5.596,5.85879,0.73265,-6.46215
5.6154,6.08864,0.07901,-5.82766
5.6351,6.04315,-0.38069,-6.60102
5.6551,8.31532,0.38787,-6.16526
5.6736,8.80375,-0.13169,-4.87474
5.6949,8.29616,-1.71909,-6.28018
5.7137,8.6577,-1.85077,-8.41109
5.7353,7.51323,-1.68557,-9.93385
5.7549,6.27779,-0.61293,-10.09426
5.7759,6.63214,0.66082,-8.77502
5.7948,7.80534,1.18756,-8.6984
5.8148,9.13176,0.19872,-8.03279
5.8363,9.68005,-0.32083,-6.7734
5.8543,9.7423,0.30407,-6.61059
5.8753,9.34485,1.67599,-6.31131
5.8974,8.27701,1.82444,-7.49169
5.9154,9.81413,0.49561,-10.2451
5.9334,13.64258,-0.0838,-9.13176
5.9568,12.8788,-1.91063,-6.41905
5.9739,8.83727,-2.72468,-5.19318
5.9937,2.96172,-4.70475,-7.34803
6.0161,0.65603,-6.09343,-11.02085
6.0325,-2.84679,-7.99688,-12.48614
6.0539,-4.37434,-8.01843,-10.27862
6.0742,-3.75183,-8.22912,-8.10462
6.0936,-4.33364,-7.81252,-6.01681
6.1151,-8.54756,-5.91625,-1.5467
6.1353,-9.8285,1.89627,2.02316
6.1542,-8.12617,8.20039,-1.05827
6.175,-9.12219,10.44862,-0.66561
6.1968,-10.89395,11.4566,8.24109
6.2139,-13.89398,9.84047,12.9219
6.233,-16.16614,5.83964,8.61699
6.255,-15.977,4.0152,3.39269
6.2765,-16.29783,1.69515,-1.90584
6.2944,-16.11826,1.65205,-4.45814
6.3166,-14.91873,-0.05986,-6.49567
6.3341,-13.22119,-3.65366,-5.74865
6.3554,-11.56674,-4.18759,-4.29772
6.3755,-12.82852,-3.70394,-4.86996
6.3935,-13.4247,-2.23865,-6.45018
6.4155,-11.04958,-1.42459,-7.57788
6.4363,-7.50126,-3.25143,-7.08945
6.4544,-3.42381,-2.65286,-5.55472
6.4747,-1.63768,-1.10376,-2.53075
6.496,-0.54111,0.80448,1.91303
6.5152,1.24023,3.20354,5.19797
6.5366,2.42301,3.71591,5.25304
6.5555,3.45494,3.17002,3.54113
6.5744,4.24026,2.51638,3.30649
6.5935,4.17083,2.11175,4.3073
6.6171,3.45494,2.2147,5.07586
6.6344,3.70155,2.35836,3.14847
6.6551,4.27139,2.72708,0.99841
6.674,4.85559,3.15326,-1.58262
6.6955,5.06868,2.80848,-2.58821
6.7127,6.98889,2.06386,1.06066
6.7371,8.22912,1.01038,4.92263
6.7547,7.81252,-1.30009,8.1956
6.7746,8.82051,-3.4286,8.80614
6.7945,7.41267,-2.35357,10.32651
6.8148,9.89075,-0.78772,15.35927
6.8347,11.54759,-2.26977,17.59313
6.8564,10.68565,-0.69434,18.26113
6.8743,7.87477,2.84679,15.86446
6.8975,3.71831,10.92268,20.10472
6.9154,12.32333,-26.88052,35.54062
6.9351,12.73994,-6.00005,18.68013
6.9548,-2.06865,19.65939,-14.41353
6.9747,-13.54202,15.53405,8.50207
6.995,-11.69603,0.28971,9.76146
7.0144,2.89468,-2.73187,12.1294
7.0359,6.8596,-3.09819,13.43667
7.0538,6.63693,-4.23547,10.25468
7.0739,6.88354,1.76937,2.3823
7.0965,10.51805,3.66324,10.84367
7.1141,13.24992,-1.99683,11.48294
7.136,16.08713,-3.86197,8.93064
7.1559,3.96013,2.67201,8.92107
7.1766,-16.47979,15.9315,10.5827
7.196,-2.06865,9.77822,24.43836
7.2152,2.87792,-0.15084,43.3268
7.2327,6.75664,-8.11659,47.71071
7.2542,0.30886,-5.1453,26.14069
7.2754,-7.14452,3.30649,11.44942
